,number,value,datetime_start,datetime_complete,duration,params_alpha,params_decay_interval,params_decay_rate,params_gamma,params_initialization,params_max_steps,state
51,51,18202.0,2023-11-15 10:41:13.626821,2023-11-15 10:41:13.702602,0 days 00:00:00.075781,0.6,20,2.0,0.30000000000000004,0,82,COMPLETE
52,52,6101.0,2023-11-15 10:41:13.703538,2023-11-15 10:41:13.866548,0 days 00:00:00.163010,0.6,20,2.0,0.30000000000000004,4,101,COMPLETE
53,53,18392.5,2023-11-15 10:41:13.867435,2023-11-15 10:41:13.948211,0 days 00:00:00.080776,0.5,20,2.0,0.4,0,74,COMPLETE
54,54,11041.75,2023-11-15 10:41:13.949744,2023-11-15 10:41:14.071980,0 days 00:00:00.122236,0.7000000000000001,10,1.0,0.30000000000000004,7,87,COMPLETE
55,55,100.0,2023-11-15 10:41:14.072958,2023-11-15 10:41:14.339823,0 days 00:00:00.266865,0.6,10,1.75,0.1,11,91,COMPLETE
56,56,14109.75,2023-11-15 10:41:14.340748,2023-11-15 10:41:14.443879,0 days 00:00:00.103131,0.6,80,2.0,0.2,3,136,COMPLETE
57,57,69.0,2023-11-15 10:41:14.444700,2023-11-15 10:41:14.633457,0 days 00:00:00.188757,0.1,20,1.75,0.30000000000000004,18,61,COMPLETE
58,58,3821.75,2023-11-15 10:41:14.634672,2023-11-15 10:41:14.806679,0 days 00:00:00.172007,0.5,30,1.5,0.4,55,76,COMPLETE
59,59,8710.75,2023-11-15 10:41:14.808535,2023-11-15 10:41:14.966720,0 days 00:00:00.158185,0.2,50,1.25,0.2,3,100,COMPLETE
60,60,17319.25,2023-11-15 10:41:14.968433,2023-11-15 10:41:15.066599,0 days 00:00:00.098166,0.4,20,0.5,0.5,13,125,COMPLETE
61,61,10510.0,2023-11-15 10:41:15.067577,2023-11-15 10:41:15.202090,0 days 00:00:00.134513,0.5,20,2.0,0.4,1,72,COMPLETE
62,62,2168.25,2023-11-15 10:41:15.203393,2023-11-15 10:41:15.404752,0 days 00:00:00.201359,0.6,10,2.0,0.4,7,78,COMPLETE
63,63,17353.75,2023-11-15 10:41:15.405790,2023-11-15 10:41:15.509611,0 days 00:00:00.103821,0.5,30,2.0,0.4,0,67,COMPLETE
64,64,1151.0,2023-11-15 10:41:15.511018,2023-11-15 10:41:15.741183,0 days 00:00:00.230165,0.5,20,1.75,0.30000000000000004,88,84,COMPLETE
65,65,4928.25,2023-11-15 10:41:15.742376,2023-11-15 10:41:15.907693,0 days 00:00:00.165317,0.6,10,2.0,0.5,3,90,COMPLETE
66,66,14977.25,2023-11-15 10:41:15.908647,2023-11-15 10:41:16.011186,0 days 00:00:00.102539,0.7000000000000001,40,1.0,0.4,40,95,COMPLETE
67,67,14272.25,2023-11-15 10:41:16.012019,2023-11-15 10:41:16.112430,0 days 00:00:00.100411,0.30000000000000004,20,0.25,0.30000000000000004,10,73,COMPLETE
68,68,157.5,2023-11-15 10:41:16.113390,2023-11-15 10:41:16.289601,0 days 00:00:00.176211,0.4,10,1.75,0.1,6,61,COMPLETE
69,69,6783.25,2023-11-15 10:41:16.290438,2023-11-15 10:41:16.426607,0 days 00:00:00.136169,0.6,30,2.0,0.5,18,83,COMPLETE
70,70,6147.25,2023-11-15 10:41:16.427467,2023-11-15 10:41:16.561544,0 days 00:00:00.134077,0.5,20,1.25,0.2,1,77,COMPLETE
71,71,1367.0,2023-11-15 10:41:16.562427,2023-11-15 10:41:16.776404,0 days 00:00:00.213977,0.6,20,2.0,0.30000000000000004,7,87,COMPLETE
72,72,19161.25,2023-11-15 10:41:16.777338,2023-11-15 10:41:16.848439,0 days 00:00:00.071101,0.6,10,2.0,0.30000000000000004,0,66,COMPLETE
73,73,19161.25,2023-11-15 10:41:16.849440,2023-11-15 10:41:16.924731,0 days 00:00:00.075291,0.7000000000000001,10,2.0,0.4,0,65,COMPLETE
74,74,1825.0,2023-11-15 10:41:16.925998,2023-11-15 10:41:17.068202,0 days 00:00:00.142204,0.8,10,2.0,0.30000000000000004,3,56,COMPLETE
75,75,0.0,2023-11-15 10:41:17.069073,2023-11-15 10:41:17.204302,0 days 00:00:00.135229,0.7000000000000001,10,1.75,0.2,10,39,COMPLETE
76,76,1312.75,2023-11-15 10:41:17.205438,2023-11-15 10:41:17.428688,0 days 00:00:00.223250,0.8,10,1.0,0.4,15,67,COMPLETE
77,77,11942.0,2023-11-15 10:41:17.429843,2023-11-15 10:41:17.537726,0 days 00:00:00.107883,0.7000000000000001,100,2.0,0.30000000000000004,6,63,COMPLETE
78,78,10707.0,2023-11-15 10:41:17.538534,2023-11-15 10:41:17.628656,0 days 00:00:00.090122,0.6,10,0.75,0.2,3,49,COMPLETE
79,79,1488.0,2023-11-15 10:41:17.629492,2023-11-15 10:41:17.806124,0 days 00:00:00.176632,0.7000000000000001,10,1.75,0.1,22,70,COMPLETE
80,80,18676.75,2023-11-15 10:41:17.807016,2023-11-15 10:41:17.878903,0 days 00:00:00.071887,0.6,10,1.5,0.7000000000000001,0,59,COMPLETE
81,81,0.0,2023-11-15 10:41:17.880243,2023-11-15 10:41:18.059636,0 days 00:00:00.179393,0.6,10,1.5,0.9,0,58,COMPLETE
82,82,14422.25,2023-11-15 10:41:18.060812,2023-11-15 10:41:18.205235,0 days 00:00:00.144423,0.6,10,1.25,0.8,5,54,COMPLETE
83,83,4263.25,2023-11-15 10:41:18.207465,2023-11-15 10:41:18.378381,0 days 00:00:00.170916,0.7000000000000001,20,1.5,0.7000000000000001,8,65,COMPLETE
84,84,16586.0,2023-11-15 10:41:18.379249,2023-11-15 10:41:18.461437,0 days 00:00:00.082188,0.6,10,1.25,0.7000000000000001,2,70,COMPLETE
85,85,2199.75,2023-11-15 10:41:18.462494,2023-11-15 10:41:18.641440,0 days 00:00:00.178946,0.7000000000000001,10,1.75,0.4,11,80,COMPLETE
86,86,4828.0,2023-11-15 10:41:18.642552,2023-11-15 10:41:18.766503,0 days 00:00:00.123951,0.6,20,1.5,0.6,5,59,COMPLETE
87,87,14057.75,2023-11-15 10:41:18.767411,2023-11-15 10:41:18.845131,0 days 00:00:00.077720,0.9,70,2.0,0.30000000000000004,2,49,COMPLETE
88,88,0.0,2023-11-15 10:41:18.846044,2023-11-15 10:41:18.900048,0 days 00:00:00.054004,0.5,10,1.0,0.8,13,3,COMPLETE
89,89,18299.25,2023-11-15 10:41:18.900924,2023-11-15 10:41:18.977976,0 days 00:00:00.077052,0.8,20,2.0,0.5,0,93,COMPLETE
90,90,3706.75,2023-11-15 10:41:18.978801,2023-11-15 10:41:19.142609,0 days 00:00:00.163808,0.6,10,1.75,0.4,5,81,COMPLETE
91,91,17643.75,2023-11-15 10:41:19.143768,2023-11-15 10:41:19.227173,0 days 00:00:00.083405,0.5,30,2.0,0.4,0,75,COMPLETE
92,92,3189.0,2023-11-15 10:41:19.228079,2023-11-15 10:41:19.383353,0 days 00:00:00.155274,0.5,20,2.0,0.30000000000000004,8,72,COMPLETE
93,93,7110.75,2023-11-15 10:41:19.384454,2023-11-15 10:41:19.527255,0 days 00:00:00.142801,0.6,20,2.0,0.4,2,86,COMPLETE
94,94,4900.75,2023-11-15 10:41:19.528462,2023-11-15 10:41:19.657051,0 days 00:00:00.128589,0.1,60,1.25,0.4,4,64,COMPLETE
95,95,5224.75,2023-11-15 10:41:19.658187,2023-11-15 10:41:19.843466,0 days 00:00:00.185279,0.5,10,1.75,0.5,8,111,COMPLETE
96,96,18297.0,2023-11-15 10:41:19.844402,2023-11-15 10:41:19.938249,0 days 00:00:00.093847,0.6,20,2.0,0.30000000000000004,0,76,COMPLETE
97,97,2164.0,2023-11-15 10:41:19.946892,2023-11-15 10:41:20.115138,0 days 00:00:00.168246,0.7000000000000001,10,2.0,0.5,2,69,COMPLETE
98,98,11845.5,2023-11-15 10:41:20.116152,2023-11-15 10:41:20.233903,0 days 00:00:00.117751,0.5,30,1.0,0.2,6,98,COMPLETE
99,99,3583.25,2023-11-15 10:41:20.235334,2023-11-15 10:41:20.426920,0 days 00:00:00.191586,0.4,20,1.5,0.1,10,105,COMPLETE
100,100,1469.75,2023-11-15 10:41:20.427875,2023-11-15 10:41:20.684069,0 days 00:00:00.256194,0.30000000000000004,10,1.75,0.4,68,90,COMPLETE
101,101,17643.0,2023-11-15 10:41:20.685048,2023-11-15 10:41:20.767968,0 days 00:00:00.082920,0.9,20,2.0,0.5,0,93,COMPLETE
102,102,1867.0,2023-11-15 10:41:20.768837,2023-11-15 10:41:20.950373,0 days 00:00:00.181536,0.8,20,2.0,0.5,2,79,COMPLETE
103,103,6332.25,2023-11-15 10:41:20.951277,2023-11-15 10:41:21.097088,0 days 00:00:00.145811,0.6,10,2.0,0.6,4,84,COMPLETE
104,104,18199.0,2023-11-15 10:41:21.097971,2023-11-15 10:41:21.175588,0 days 00:00:00.077617,0.8,20,2.0,0.4,0,118,COMPLETE
105,105,1377.75,2023-11-15 10:41:21.177272,2023-11-15 10:41:21.396928,0 days 00:00:00.219656,0.7000000000000001,30,2.0,0.30000000000000004,6,93,COMPLETE
106,106,3833.25,2023-11-15 10:41:21.397850,2023-11-15 10:41:21.554868,0 days 00:00:00.157018,0.6,10,1.25,0.5,2,73,COMPLETE
107,107,1387.75,2023-11-15 10:41:21.555704,2023-11-15 10:41:21.764521,0 days 00:00:00.208817,0.8,20,1.75,0.4,8,88,COMPLETE
108,108,1539.25,2023-11-15 10:41:21.765352,2023-11-15 10:41:21.988825,0 days 00:00:00.223473,0.7000000000000001,10,2.0,0.9,98,102,COMPLETE
109,109,3538.0,2023-11-15 10:41:21.990074,2023-11-15 10:41:22.136669,0 days 00:00:00.146595,0.6,20,2.0,0.30000000000000004,4,66,COMPLETE
110,110,2919.0,2023-11-15 10:41:22.137581,2023-11-15 10:41:22.339067,0 days 00:00:00.201486,0.2,10,1.75,0.2,12,98,COMPLETE
111,111,18202.0,2023-11-15 10:41:22.340128,2023-11-15 10:41:22.416532,0 days 00:00:00.076404,0.6,20,2.0,0.30000000000000004,0,83,COMPLETE
112,112,1113.5,2023-11-15 10:41:22.417510,2023-11-15 10:41:22.614014,0 days 00:00:00.196504,0.6,20,2.0,0.30000000000000004,2,78,COMPLETE
113,113,16976.5,2023-11-15 10:41:22.614923,2023-11-15 10:41:22.697979,0 days 00:00:00.083056,0.5,30,2.0,0.6,4,60,COMPLETE
