,number,value,datetime_start,datetime_complete,duration,params_alpha,params_decay_interval,params_decay_rate,params_gamma,params_initialization,params_max_steps,state
53,53,17477.5,2023-11-15 13:17:23.190117,2023-11-15 13:17:23.278665,0 days 00:00:00.088548,0.8,20,1.75,0.9,86,100,COMPLETE
54,54,17832.0,2023-11-15 13:17:23.279736,2023-11-15 13:17:23.367689,0 days 00:00:00.087953,0.9,10,1.5,0.9,73,95,COMPLETE
55,55,18213.0,2023-11-15 13:17:23.368579,2023-11-15 13:17:23.452772,0 days 00:00:00.084193,0.9,10,1.5,0.9,71,94,COMPLETE
56,56,17562.75,2023-11-15 13:17:23.453622,2023-11-15 13:17:23.536625,0 days 00:00:00.083003,0.9,20,1.0,0.9,68,93,COMPLETE
57,57,18210.5,2023-11-15 13:17:23.537483,2023-11-15 13:17:23.621820,0 days 00:00:00.084337,0.8,10,1.5,0.9,74,96,COMPLETE
58,58,17105.5,2023-11-15 13:17:23.622811,2023-11-15 13:17:23.711419,0 days 00:00:00.088608,0.8,20,1.25,0.9,83,88,COMPLETE
59,59,17764.25,2023-11-15 13:17:23.712275,2023-11-15 13:17:23.798571,0 days 00:00:00.086296,0.8,10,1.5,0.8,68,97,COMPLETE
60,60,17841.0,2023-11-15 13:17:23.799530,2023-11-15 13:17:23.884340,0 days 00:00:00.084810,0.9,10,1.25,0.8,62,91,COMPLETE
61,61,17938.5,2023-11-15 13:17:23.885282,2023-11-15 13:17:23.969695,0 days 00:00:00.084413,0.9,10,1.25,0.8,62,90,COMPLETE
62,62,18212.5,2023-11-15 13:17:23.970911,2023-11-15 13:17:24.054845,0 days 00:00:00.083934,0.9,10,1.25,0.9,63,89,COMPLETE
63,63,17461.25,2023-11-15 13:17:24.056523,2023-11-15 13:17:24.142615,0 days 00:00:00.086092,0.8,20,1.0,0.9,51,89,COMPLETE
64,64,17931.25,2023-11-15 13:17:24.143568,2023-11-15 13:17:24.225585,0 days 00:00:00.082017,0.9,10,1.5,0.9,82,81,COMPLETE
65,65,15152.75,2023-11-15 13:17:24.226476,2023-11-15 13:17:24.319203,0 days 00:00:00.092727,0.9,60,1.25,0.9,65,81,COMPLETE
66,66,16562.5,2023-11-15 13:17:24.320118,2023-11-15 13:17:24.410159,0 days 00:00:00.090041,0.9,30,1.5,0.7000000000000001,56,86,COMPLETE
67,67,17748.5,2023-11-15 13:17:24.411081,2023-11-15 13:17:24.495623,0 days 00:00:00.084542,0.9,10,1.0,0.9,80,81,COMPLETE
68,68,17652.75,2023-11-15 13:17:24.496754,2023-11-15 13:17:24.583726,0 days 00:00:00.086972,0.9,20,1.25,0.9,78,97,COMPLETE
69,69,18030.5,2023-11-15 13:17:24.584753,2023-11-15 13:17:24.664907,0 days 00:00:00.080154,0.9,10,1.25,0.8,46,85,COMPLETE
70,70,17463.5,2023-11-15 13:17:24.665756,2023-11-15 13:17:24.747798,0 days 00:00:00.082042,0.8,20,1.25,0.8,47,88,COMPLETE
71,71,18022.75,2023-11-15 13:17:24.748659,2023-11-15 13:17:24.832955,0 days 00:00:00.084296,0.9,10,1.5,0.8,57,83,COMPLETE
72,72,17896.25,2023-11-15 13:17:24.833894,2023-11-15 13:17:24.919886,0 days 00:00:00.085992,0.9,10,1.0,0.7000000000000001,57,85,COMPLETE
73,73,17749.75,2023-11-15 13:17:24.920913,2023-11-15 13:17:25.005933,0 days 00:00:00.085020,0.9,10,1.5,0.8,63,83,COMPLETE
74,74,18302.75,2023-11-15 13:17:25.007121,2023-11-15 13:17:25.089446,0 days 00:00:00.082325,0.9,10,1.25,0.8,38,79,COMPLETE
75,75,12383.75,2023-11-15 13:17:25.090580,2023-11-15 13:17:25.243522,0 days 00:00:00.152942,0.1,20,1.25,0.7000000000000001,37,91,COMPLETE
76,76,17838.5,2023-11-15 13:17:25.244420,2023-11-15 13:17:25.333490,0 days 00:00:00.089070,0.8,10,1.25,0.8,43,78,COMPLETE
77,77,15482.5,2023-11-15 13:17:25.334318,2023-11-15 13:17:25.442780,0 days 00:00:00.108462,0.2,20,1.0,0.8,47,100,COMPLETE
78,78,13748.25,2023-11-15 13:17:25.443617,2023-11-15 13:17:25.542903,0 days 00:00:00.099286,0.8,80,1.5,0.7000000000000001,53,86,COMPLETE
79,79,17382.5,2023-11-15 13:17:25.544046,2023-11-15 13:17:25.637058,0 days 00:00:00.093012,0.9,20,1.25,0.8,70,93,COMPLETE
80,80,17935.0,2023-11-15 13:17:25.638044,2023-11-15 13:17:25.724298,0 days 00:00:00.086254,0.8,10,1.5,0.8,40,88,COMPLETE
81,81,17933.5,2023-11-15 13:17:25.725602,2023-11-15 13:17:25.807018,0 days 00:00:00.081416,0.8,10,1.5,0.8,37,89,COMPLETE
82,82,18216.0,2023-11-15 13:17:25.808917,2023-11-15 13:17:25.891824,0 days 00:00:00.082907,0.9,10,1.25,0.9,41,97,COMPLETE
83,83,18218.5,2023-11-15 13:17:25.892692,2023-11-15 13:17:25.977113,0 days 00:00:00.084421,0.9,10,1.25,0.9,48,97,COMPLETE
84,84,18228.75,2023-11-15 13:17:25.978136,2023-11-15 13:17:26.062745,0 days 00:00:00.084609,0.9,10,1.0,0.9,48,98,COMPLETE
85,85,18228.75,2023-11-15 13:17:26.063873,2023-11-15 13:17:26.147803,0 days 00:00:00.083930,0.9,10,1.0,0.9,48,98,COMPLETE
