,number,value,datetime_start,datetime_complete,duration,params_alpha,params_decay_interval,params_decay_rate,params_gamma,params_initialization,params_max_steps,state
73,73,17880.75,2023-11-15 12:00:04.122881,2023-11-15 12:00:04.221224,0 days 00:00:00.098343,0.5,10,1.75,0.5,80,150,COMPLETE
74,74,18012.5,2023-11-15 12:00:04.222214,2023-11-15 12:00:04.325627,0 days 00:00:00.103413,0.7000000000000001,20,1.75,0.5,16,139,COMPLETE
75,75,18406.5,2023-11-15 12:00:04.328090,2023-11-15 12:00:04.431474,0 days 00:00:00.103384,0.6,10,1.5,0.2,3,145,COMPLETE
76,76,18406.75,2023-11-15 12:00:04.433061,2023-11-15 12:00:04.579568,0 days 00:00:00.146507,0.6,10,1.5,0.2,1,145,COMPLETE
77,77,100.0,2023-11-15 12:00:04.581524,2023-11-15 12:00:04.960449,0 days 00:00:00.378925,0.6,10,1.5,0.2,0,125,COMPLETE
78,78,17942.75,2023-11-15 12:00:04.962418,2023-11-15 12:00:05.046844,0 days 00:00:00.084426,0.6,10,1.5,0.2,7,133,COMPLETE
79,79,12948.25,2023-11-15 12:00:05.047914,2023-11-15 12:00:05.168091,0 days 00:00:00.120177,0.6,90,1.25,0.1,4,144,COMPLETE
80,80,17955.75,2023-11-15 12:00:05.169034,2023-11-15 12:00:05.256681,0 days 00:00:00.087647,0.5,10,1.5,0.30000000000000004,11,140,COMPLETE
81,81,18501.25,2023-11-15 12:00:05.257528,2023-11-15 12:00:05.338795,0 days 00:00:00.081267,0.5,10,1.25,0.2,2,146,COMPLETE
82,82,18149.5,2023-11-15 12:00:05.339663,2023-11-15 12:00:05.423786,0 days 00:00:00.084123,0.5,10,1.25,0.2,3,145,COMPLETE
83,83,14293.75,2023-11-15 12:00:05.424643,2023-11-15 12:00:05.528009,0 days 00:00:00.103366,0.4,60,1.25,0.1,6,134,COMPLETE
84,84,18125.75,2023-11-15 12:00:05.528913,2023-11-15 12:00:05.611323,0 days 00:00:00.082410,0.5,10,1.5,0.30000000000000004,9,139,COMPLETE
85,85,298.5,2023-11-15 12:00:05.612425,2023-11-15 12:00:06.003125,0 days 00:00:00.390700,0.6,10,1.75,0.30000000000000004,0,145,COMPLETE
86,86,17146.25,2023-11-15 12:00:06.003998,2023-11-15 12:00:06.099421,0 days 00:00:00.095423,0.4,10,1.5,0.2,16,129,COMPLETE
87,87,17251.0,2023-11-15 12:00:06.100454,2023-11-15 12:00:06.187278,0 days 00:00:00.086824,0.6,20,1.25,0.2,13,137,COMPLETE
88,88,16312.5,2023-11-15 12:00:06.188529,2023-11-15 12:00:06.267881,0 days 00:00:00.079352,0.6,10,2.0,0.1,2,67,COMPLETE
89,89,17286.0,2023-11-15 12:00:06.268831,2023-11-15 12:00:06.355577,0 days 00:00:00.086746,0.5,20,1.25,0.2,6,139,COMPLETE
90,90,18696.0,2023-11-15 12:00:06.356603,2023-11-15 12:00:06.435722,0 days 00:00:00.079119,0.7000000000000001,10,1.5,0.30000000000000004,10,146,COMPLETE
91,91,18685.25,2023-11-15 12:00:06.436593,2023-11-15 12:00:06.514832,0 days 00:00:00.078239,0.7000000000000001,10,1.5,0.30000000000000004,10,145,COMPLETE
92,92,18553.5,2023-11-15 12:00:06.515819,2023-11-15 12:00:06.595566,0 days 00:00:00.079747,0.7000000000000001,10,1.5,0.30000000000000004,9,146,COMPLETE
93,93,18121.0,2023-11-15 12:00:06.596690,2023-11-15 12:00:06.674855,0 days 00:00:00.078165,0.7000000000000001,10,1.75,0.30000000000000004,22,133,COMPLETE
94,94,18395.75,2023-11-15 12:00:06.675844,2023-11-15 12:00:06.758752,0 days 00:00:00.082908,0.8,10,1.25,0.4,9,147,COMPLETE
95,95,17741.0,2023-11-15 12:00:06.759844,2023-11-15 12:00:06.843292,0 days 00:00:00.083448,0.7000000000000001,20,1.25,0.30000000000000004,14,141,COMPLETE
96,96,18310.75,2023-11-15 12:00:06.844502,2023-11-15 12:00:06.923730,0 days 00:00:00.079228,0.7000000000000001,10,1.0,0.30000000000000004,11,143,COMPLETE
97,97,18042.75,2023-11-15 12:00:06.924570,2023-11-15 12:00:07.003486,0 days 00:00:00.078916,0.8,10,1.5,0.4,17,127,COMPLETE
98,98,0.0,2023-11-15 12:00:07.004532,2023-11-15 12:00:07.052802,0 days 00:00:00.048270,0.8,20,1.75,0.4,10,2,COMPLETE
99,99,17527.0,2023-11-15 12:00:07.053664,2023-11-15 12:00:07.150171,0 days 00:00:00.096507,0.30000000000000004,10,1.5,0.30000000000000004,6,147,COMPLETE
100,100,17364.5,2023-11-15 12:00:07.151254,2023-11-15 12:00:07.244039,0 days 00:00:00.092785,0.7000000000000001,20,2.0,0.9,26,131,COMPLETE
101,101,18220.0,2023-11-15 12:00:07.245344,2023-11-15 12:00:07.328536,0 days 00:00:00.083192,0.7000000000000001,10,1.5,0.2,13,147,COMPLETE
102,102,18114.5,2023-11-15 12:00:07.329582,2023-11-15 12:00:07.415633,0 days 00:00:00.086051,0.8,10,1.75,0.8,7,136,COMPLETE
103,103,18224.25,2023-11-15 12:00:07.416495,2023-11-15 12:00:07.497622,0 days 00:00:00.081127,0.7000000000000001,10,1.25,0.30000000000000004,2,140,COMPLETE
104,104,18216.25,2023-11-15 12:00:07.498608,2023-11-15 12:00:07.584520,0 days 00:00:00.085912,0.8,10,1.5,0.8,15,144,COMPLETE
105,105,18511.0,2023-11-15 12:00:07.585347,2023-11-15 12:00:07.664890,0 days 00:00:00.079543,0.7000000000000001,10,1.25,0.2,5,148,COMPLETE
106,106,18212.0,2023-11-15 12:00:07.665917,2023-11-15 12:00:07.747561,0 days 00:00:00.081644,0.7000000000000001,10,1.0,0.30000000000000004,5,150,COMPLETE
107,107,17824.0,2023-11-15 12:00:07.748639,2023-11-15 12:00:07.833064,0 days 00:00:00.084425,0.7000000000000001,20,1.25,0.8,10,138,COMPLETE
108,108,16387.75,2023-11-15 12:00:07.834138,2023-11-15 12:00:07.904054,0 days 00:00:00.069916,0.8,20,1.25,0.7000000000000001,20,38,COMPLETE
109,109,18396.75,2023-11-15 12:00:07.905032,2023-11-15 12:00:07.993449,0 days 00:00:00.088417,0.8,10,1.0,0.8,8,142,COMPLETE
110,110,17881.25,2023-11-15 12:00:07.994612,2023-11-15 12:00:08.085667,0 days 00:00:00.091055,0.7000000000000001,10,1.0,0.1,97,148,COMPLETE
111,111,199.75,2023-11-15 12:00:08.086549,2023-11-15 12:00:08.477208,0 days 00:00:00.390659,0.7000000000000001,10,1.5,0.2,0,143,COMPLETE
112,112,18113.5,2023-11-15 12:00:08.478666,2023-11-15 12:00:08.557684,0 days 00:00:00.079018,0.6,10,1.5,0.2,2,135,COMPLETE
113,113,18122.25,2023-11-15 12:00:08.558630,2023-11-15 12:00:08.642709,0 days 00:00:00.084079,0.7000000000000001,10,1.25,0.2,12,147,COMPLETE
114,114,18496.5,2023-11-15 12:00:08.643839,2023-11-15 12:00:08.723300,0 days 00:00:00.079461,0.8,10,1.75,0.2,4,140,COMPLETE
115,115,18309.75,2023-11-15 12:00:08.724261,2023-11-15 12:00:08.804075,0 days 00:00:00.079814,0.8,10,1.75,0.30000000000000004,6,140,COMPLETE
116,116,17733.75,2023-11-15 12:00:08.805003,2023-11-15 12:00:08.889237,0 days 00:00:00.084234,0.8,20,2.0,0.30000000000000004,4,123,COMPLETE
117,117,18214.0,2023-11-15 12:00:08.890130,2023-11-15 12:00:08.971455,0 days 00:00:00.081325,0.8,10,1.75,0.1,8,132,COMPLETE
118,118,18591.25,2023-11-15 12:00:08.972294,2023-11-15 12:00:09.056176,0 days 00:00:00.083882,0.8,10,1.25,0.9,14,150,COMPLETE
119,119,18488.0,2023-11-15 12:00:09.057246,2023-11-15 12:00:09.141462,0 days 00:00:00.084216,0.8,10,1.75,0.9,18,150,COMPLETE
120,120,17921.5,2023-11-15 12:00:09.142531,2023-11-15 12:00:09.234602,0 days 00:00:00.092071,0.8,20,1.5,0.9,15,144,COMPLETE
121,121,18111.5,2023-11-15 12:00:09.235491,2023-11-15 12:00:09.322857,0 days 00:00:00.087366,0.8,10,1.25,0.8,11,137,COMPLETE
122,122,18398.25,2023-11-15 12:00:09.324215,2023-11-15 12:00:09.405452,0 days 00:00:00.081237,0.7000000000000001,10,1.25,0.9,4,147,COMPLETE
123,123,18209.75,2023-11-15 12:00:09.406416,2023-11-15 12:00:09.489188,0 days 00:00:00.082772,0.8,10,1.0,0.7000000000000001,13,141,COMPLETE
124,124,18589.0,2023-11-15 12:00:09.490136,2023-11-15 12:00:09.570859,0 days 00:00:00.080723,0.9,10,1.25,0.2,7,150,COMPLETE
125,125,18586.5,2023-11-15 12:00:09.571819,2023-11-15 12:00:09.653010,0 days 00:00:00.081191,0.9,10,1.5,0.2,8,150,COMPLETE
126,126,18586.5,2023-11-15 12:00:09.653835,2023-11-15 12:00:09.735364,0 days 00:00:00.081529,0.9,10,1.5,0.2,23,150,COMPLETE
127,127,14743.75,2023-11-15 12:00:09.736251,2023-11-15 12:00:09.840494,0 days 00:00:00.104243,0.9,70,1.5,0.1,23,149,COMPLETE
128,128,18393.5,2023-11-15 12:00:09.841474,2023-11-15 12:00:09.918965,0 days 00:00:00.077491,0.9,20,1.5,0.4,17,150,COMPLETE
129,129,18504.25,2023-11-15 12:00:09.920009,2023-11-15 12:00:10.001530,0 days 00:00:00.081521,0.9,10,1.5,0.2,32,145,COMPLETE
130,130,15513.0,2023-11-15 12:00:10.002424,2023-11-15 12:00:10.099801,0 days 00:00:00.097377,0.9,60,1.25,0.2,28,143,COMPLETE
131,131,18400.75,2023-11-15 12:00:10.101194,2023-11-15 12:00:10.182433,0 days 00:00:00.081239,0.9,10,1.5,0.2,32,147,COMPLETE
132,132,18586.5,2023-11-15 12:00:10.183455,2023-11-15 12:00:10.266725,0 days 00:00:00.083270,0.9,10,1.5,0.2,20,150,COMPLETE
133,133,18494.25,2023-11-15 12:00:10.267962,2023-11-15 12:00:10.350218,0 days 00:00:00.082256,0.9,10,1.5,0.2,24,150,COMPLETE
134,134,18405.25,2023-11-15 12:00:10.351307,2023-11-15 12:00:10.435699,0 days 00:00:00.084392,0.9,10,1.5,0.30000000000000004,15,144,COMPLETE
135,135,18490.5,2023-11-15 12:00:10.436673,2023-11-15 12:00:10.517995,0 days 00:00:00.081322,0.9,10,2.75,0.2,20,147,COMPLETE
136,136,16912.75,2023-11-15 12:00:10.519047,2023-11-15 12:00:10.613521,0 days 00:00:00.094474,0.9,40,1.75,0.1,21,150,COMPLETE
137,137,18413.5,2023-11-15 12:00:10.614498,2023-11-15 12:00:10.698039,0 days 00:00:00.083541,0.9,10,1.25,0.2,18,143,COMPLETE
138,138,13157.5,2023-11-15 12:00:10.699112,2023-11-15 12:00:10.822123,0 days 00:00:00.123011,0.9,100,1.5,0.30000000000000004,12,147,COMPLETE
139,139,18402.25,2023-11-15 12:00:10.823138,2023-11-15 12:00:10.907349,0 days 00:00:00.084211,0.9,10,1.25,0.2,68,141,COMPLETE
140,140,17567.5,2023-11-15 12:00:10.908327,2023-11-15 12:00:10.989767,0 days 00:00:00.081440,0.9,20,1.75,0.5,7,94,COMPLETE
141,141,18308.25,2023-11-15 12:00:10.990765,2023-11-15 12:00:11.072935,0 days 00:00:00.082170,0.9,10,1.5,0.2,42,144,COMPLETE
142,142,18692.5,2023-11-15 12:00:11.073936,2023-11-15 12:00:11.155288,0 days 00:00:00.081352,0.9,10,1.5,0.2,29,146,COMPLETE
143,143,18522.75,2023-11-15 12:00:11.156334,2023-11-15 12:00:11.240133,0 days 00:00:00.083799,0.9,10,1.5,0.2,25,150,COMPLETE
144,144,18400.5,2023-11-15 12:00:11.241014,2023-11-15 12:00:11.323651,0 days 00:00:00.082637,0.9,10,1.5,0.30000000000000004,26,138,COMPLETE
145,145,18586.5,2023-11-15 12:00:11.324554,2023-11-15 12:00:11.407266,0 days 00:00:00.082712,0.9,10,1.5,0.2,23,150,COMPLETE
146,146,17559.5,2023-11-15 12:00:11.408544,2023-11-15 12:00:11.487687,0 days 00:00:00.079143,0.9,10,1.75,0.7000000000000001,21,83,COMPLETE
147,147,18593.5,2023-11-15 12:00:11.488543,2023-11-15 12:00:11.569619,0 days 00:00:00.081076,0.9,10,1.5,0.1,29,145,COMPLETE
148,148,17922.75,2023-11-15 12:00:11.570565,2023-11-15 12:00:11.657165,0 days 00:00:00.086600,0.9,10,1.5,0.1,34,135,COMPLETE
149,149,18497.0,2023-11-15 12:00:11.658398,2023-11-15 12:00:11.743808,0 days 00:00:00.085410,0.9,10,1.5,0.1,29,142,COMPLETE
150,150,18030.5,2023-11-15 12:00:11.744875,2023-11-15 12:00:11.829194,0 days 00:00:00.084319,0.9,20,1.75,0.1,27,145,COMPLETE
151,151,18400.75,2023-11-15 12:00:11.830156,2023-11-15 12:00:11.913500,0 days 00:00:00.083344,0.9,10,1.5,0.2,30,147,COMPLETE
152,152,18586.5,2023-11-15 12:00:11.914478,2023-11-15 12:00:11.998248,0 days 00:00:00.083770,0.9,10,1.5,0.2,36,150,COMPLETE
153,153,18509.0,2023-11-15 12:00:11.999333,2023-11-15 12:00:12.084685,0 days 00:00:00.085352,0.9,10,1.25,0.2,36,150,COMPLETE
154,154,17761.5,2023-11-15 12:00:12.085684,2023-11-15 12:00:12.168373,0 days 00:00:00.082689,0.9,10,1.75,0.2,45,106,COMPLETE
155,155,18311.25,2023-11-15 12:00:12.169436,2023-11-15 12:00:12.253308,0 days 00:00:00.083872,0.9,10,1.5,0.2,23,140,COMPLETE
156,156,18593.5,2023-11-15 12:00:12.254329,2023-11-15 12:00:12.337394,0 days 00:00:00.083065,0.9,10,1.5,0.1,23,145,COMPLETE
157,157,18593.5,2023-11-15 12:00:12.338358,2023-11-15 12:00:12.419683,0 days 00:00:00.081325,0.9,10,1.5,0.1,24,145,COMPLETE
158,158,14121.25,2023-11-15 12:00:12.420535,2023-11-15 12:00:12.533562,0 days 00:00:00.113027,0.9,80,1.5,0.1,24,143,COMPLETE
159,159,18500.0,2023-11-15 12:00:12.534546,2023-11-15 12:00:12.617308,0 days 00:00:00.082762,0.9,10,1.5,0.1,38,146,COMPLETE
160,160,18306.5,2023-11-15 12:00:12.618442,2023-11-15 12:00:12.702325,0 days 00:00:00.083883,0.9,10,1.25,0.1,27,139,COMPLETE
161,161,18500.25,2023-11-15 12:00:12.703211,2023-11-15 12:00:12.786624,0 days 00:00:00.083413,0.9,10,1.5,0.1,30,150,COMPLETE
162,162,18397.5,2023-11-15 12:00:12.787506,2023-11-15 12:00:12.870986,0 days 00:00:00.083480,0.9,10,1.5,0.1,21,147,COMPLETE
163,163,18300.5,2023-11-15 12:00:12.871880,2023-11-15 12:00:12.954659,0 days 00:00:00.082779,0.9,10,1.75,0.1,25,144,COMPLETE
164,164,13691.25,2023-11-15 12:00:12.955552,2023-11-15 12:00:13.070331,0 days 00:00:00.114779,0.9,90,1.5,0.1,23,147,COMPLETE
165,165,18589.0,2023-11-15 12:00:13.071285,2023-11-15 12:00:13.155277,0 days 00:00:00.083992,0.9,10,1.25,0.2,19,150,COMPLETE
166,166,16211.25,2023-11-15 12:00:13.156240,2023-11-15 12:00:13.251437,0 days 00:00:00.095197,0.9,50,1.25,0.2,18,142,COMPLETE
167,167,18592.0,2023-11-15 12:00:13.252619,2023-11-15 12:00:13.335310,0 days 00:00:00.082691,0.9,10,1.25,0.2,19,145,COMPLETE
168,168,18594.75,2023-11-15 12:00:13.336202,2023-11-15 12:00:13.421057,0 days 00:00:00.084855,0.9,10,1.25,0.2,20,145,COMPLETE
169,169,18023.5,2023-11-15 12:00:13.421931,2023-11-15 12:00:13.507039,0 days 00:00:00.085108,0.9,10,1.25,0.1,16,136,COMPLETE
