,value,max_episodes,gamma,alpha,initialization,decay_rate,decay_interval
221,100.0,669,0.6,0.30000000000000004,58,2.75,61
222,100.0,689,0.6,0.30000000000000004,100,2.75,61
223,100.0,660,0.6,0.6,54,2.5,61
224,100.0,427,0.6,0.5,65,2.75,31
225,100.0,644,0.7000000000000001,0.4,70,3.0,51
226,100.0,838,0.30000000000000004,0.1,61,2.5,91
227,100.0,606,0.1,0.2,15,1.75,21
228,100.0,513,0.5,0.8,20,3.0,61
229,100.0,709,0.30000000000000004,0.7000000000000001,43,1.0,41
230,100.0,182,0.7000000000000001,0.8,50,2.75,51
231,100.0,868,0.2,0.5,73,2.25,71
232,100.0,565,0.2,0.4,77,2.25,71
233,100.0,912,0.1,0.6,79,2.25,71
234,100.0,956,0.2,0.9,77,2.5,71
235,100.0,892,0.2,0.6,12,2.25,81
236,100.0,810,0.5,0.5,75,2.0,71
237,100.0,850,0.6,0.30000000000000004,85,1.5,61
238,100.0,137,0.30000000000000004,0.9,24,3.0,71
239,100.0,997,0.4,0.4,90,2.5,61
240,100.0,974,0.9,0.7000000000000001,79,1.75,91
241,100.0,738,0.5,0.2,45,1.25,51
242,100.0,713,0.5,0.2,38,1.25,51
243,100.0,668,0.5,0.2,47,1.0,51
244,100.0,775,0.5,0.2,43,2.0,51
245,100.0,680,0.6,0.2,35,1.25,61
246,100.0,583,0.2,0.1,37,1.5,1
247,100.0,729,0.4,0.8,68,1.0,41
248,100.0,403,0.5,0.9,39,0.75,71
249,100.0,279,0.7000000000000001,0.7000000000000001,41,3.0,11
250,100.0,763,0.4,0.8,14,1.5,81
251,100.0,547,0.30000000000000004,0.30000000000000004,31,2.25,41
252,100.0,347,0.5,0.6,73,2.75,61
253,100.0,653,0.1,0.9,56,1.75,31
254,100.0,877,0.8,0.1,8,3.0,71
255,100.0,626,0.30000000000000004,0.2,27,1.5,51
256,100.0,837,0.6,0.9,17,2.5,81
257,100.0,746,0.7000000000000001,0.5,33,1.25,71
258,100.0,594,0.2,0.7000000000000001,23,3.0,61
259,100.0,378,0.9,0.8,52,2.75,91
260,100.0,683,0.4,0.30000000000000004,10,1.75,51
261,100.0,701,0.5,0.6,6,2.25,61
262,100.0,330,0.2,0.4,2,2.5,71
263,100.0,487,0.30000000000000004,0.9,45,1.5,71
264,100.0,570,0.6,0.6,48,1.0,81
265,100.0,803,0.1,0.9,41,2.0,41
266,100.0,723,0.5,0.8,12,2.75,21
267,100.0,519,0.4,0.7000000000000001,83,1.75,61
268,100.0,754,0.30000000000000004,0.1,30,3.0,91
269,100.0,536,0.7000000000000001,0.4,71,2.25,71
270,100.0,206,0.1,0.2,20,2.5,51
271,100.0,153,0.4,0.8,67,1.0,81
272,100.0,928,0.5,0.5,15,2.0,61
273,0.0,301,0.2,0.9,76,0.75,71
274,100.0,983,0.30000000000000004,0.7000000000000001,50,2.75,31
275,100.0,613,0.9,0.9,26,1.75,51
276,100.0,638,0.5,0.30000000000000004,36,1.25,41
277,100.0,893,0.4,0.8,22,3.0,61
278,100.0,789,0.6,0.2,63,2.25,71
279,100.0,264,0.2,0.6,13,2.5,81
280,100.0,676,0.8,0.9,97,3.0,91
281,100.0,851,0.30000000000000004,0.2,92,2.75,1
282,100.0,832,0.7000000000000001,0.8,18,2.25,71
283,100.0,656,0.5,0.1,46,1.5,11
284,100.0,957,0.6,0.30000000000000004,28,1.75,61
285,100.0,564,0.1,0.4,8,2.0,51
286,0.0,591,0.4,0.9,4,2.5,81
287,100.0,502,0.30000000000000004,0.5,87,2.75,61
288,100.0,697,0.2,0.7000000000000001,61,3.0,41
289,-100.0,736,0.4,0.6,33,0.25,31
290,100.0,365,0.5,0.9,80,1.0,51
291,100.0,244,0.5,0.8,42,1.75,71
292,100.0,772,0.7000000000000001,0.1,10,2.0,21
293,-100.0,716,0.6,0.7000000000000001,14,0.75,91
294,100.0,461,0.9,0.2,78,2.25,61
295,100.0,120,0.1,0.4,17,1.5,41
296,100.0,319,0.4,0.8,74,3.0,81
297,100.0,553,0.8,0.5,94,2.75,71
298,100.0,868,0.30000000000000004,0.7000000000000001,54,1.25,1
299,100.0,906,0.2,0.30000000000000004,48,2.5,71
300,0.0,822,0.7000000000000001,0.9,0,3.0,61
301,100.0,168,0.30000000000000004,0.6,44,1.75,51
302,100.0,395,0.5,0.1,83,2.25,71
303,100.0,430,0.6,0.9,69,1.0,61
304,100.0,616,0.4,0.8,65,1.5,91
305,100.0,760,0.5,0.9,39,2.0,81
306,100.0,657,0.1,0.30000000000000004,100,0.5,51
307,100.0,533,0.9,0.2,24,2.5,71
308,100.0,596,0.30000000000000004,0.7000000000000001,11,2.75,31
309,100.0,195,0.2,0.6,30,3.0,61
310,100.0,944,0.5,0.9,34,2.25,41
311,100.0,971,0.6,0.2,75,1.75,71
312,100.0,632,0.4,0.1,72,1.25,81
313,100.0,343,0.7000000000000001,0.8,21,1.5,11
314,100.0,683,0.30000000000000004,0.5,37,1.0,61
315,100.0,997,0.4,0.6,52,2.5,51
316,100.0,788,0.5,0.7000000000000001,16,2.75,71
317,100.0,577,0.2,0.8,26,3.0,91
318,100.0,218,0.8,0.9,19,2.25,61
319,100.0,748,0.1,0.4,32,2.0,1
320,100.0,698,0.6,0.8,47,1.75,71
321,100.0,813,0.9,0.30000000000000004,6,0.75,51
322,100.0,479,0.4,0.4,13,3.0,31
323,100.0,877,0.30000000000000004,0.7000000000000001,57,2.5,91
324,100.0,725,0.5,0.1,50,2.75,81
325,100.0,294,0.2,0.6,44,1.5,41
326,100.0,852,0.6,0.9,77,1.75,21
327,100.0,552,0.30000000000000004,0.2,59,1.25,61
328,100.0,139,0.7000000000000001,0.9,29,2.0,71
329,100.0,769,0.4,0.2,40,2.75,51
330,100.0,665,0.5,0.5,9,2.5,81
331,100.0,710,0.1,0.8,89,3.0,71
332,100.0,642,0.5,0.9,16,2.25,61
333,100.0,509,0.30000000000000004,0.7000000000000001,23,1.75,71
334,100.0,570,0.2,0.6,35,1.0,41
335,100.0,603,0.7000000000000001,0.1,12,3.0,91
336,100.0,799,0.5,0.8,54,2.25,61
337,100.0,916,0.8,0.4,96,3.0,11
338,100.0,539,0.6,0.30000000000000004,3,1.75,51
339,100.0,742,0.4,0.2,81,2.5,81
340,100.0,105,0.1,0.9,67,1.5,41
341,100.0,835,0.30000000000000004,0.8,73,2.75,71
342,100.0,364,0.2,0.7000000000000001,49,2.0,61
343,100.0,320,0.9,0.5,20,2.75,31
344,100.0,588,0.6,0.9,14,1.0,71
345,100.0,416,0.5,0.6,25,1.25,51
346,100.0,446,0.30000000000000004,0.30000000000000004,45,1.5,21
347,100.0,977,0.7000000000000001,0.7000000000000001,11,3.0,81
348,100.0,677,0.4,0.1,28,0.5,61
349,100.0,646,0.4,0.9,84,2.5,91
350,100.0,624,0.2,0.2,7,1.75,71
351,100.0,893,0.5,0.8,31,2.25,51
352,100.0,732,0.6,0.6,41,2.0,1
353,0.0,695,0.1,0.9,18,2.75,81
354,100.0,936,0.30000000000000004,0.30000000000000004,56,0.75,61
355,100.0,277,0.7000000000000001,0.5,98,3.0,71
356,100.0,527,0.4,0.8,91,2.25,51
357,100.0,783,0.5,0.1,71,1.75,41
358,-100.0,671,0.4,0.4,75,0.25,11
359,100.0,855,0.9,0.9,60,3.0,71
360,100.0,341,0.30000000000000004,0.7000000000000001,22,2.75,91
361,100.0,569,0.5,0.6,15,1.5,61
362,100.0,386,0.2,0.2,37,2.5,71
363,100.0,605,0.1,0.4,51,2.25,81
364,100.0,551,0.6,0.9,63,1.0,31
365,100.0,995,0.7000000000000001,0.2,47,2.0,61
366,100.0,756,0.30000000000000004,0.8,65,2.5,71
367,100.0,807,0.5,0.8,43,1.0,51
368,100.0,706,0.2,0.7000000000000001,34,1.25,41
369,100.0,960,0.4,0.9,32,1.75,91
370,100.0,647,0.6,0.6,8,3.0,61
371,100.0,877,0.9,0.9,77,2.5,61
372,100.0,826,0.4,0.2,79,2.75,81
373,100.0,621,0.7000000000000001,0.1,93,1.5,71
374,100.0,583,0.1,0.5,87,2.0,51
375,100.0,169,0.30000000000000004,0.8,27,1.75,81
376,100.0,314,0.8,0.30000000000000004,10,2.25,61
377,100.0,237,0.5,0.6,19,3.0,71
378,100.0,722,0.2,0.7000000000000001,16,1.25,51
379,100.0,763,0.30000000000000004,0.9,13,3.0,31
380,100.0,133,0.5,0.1,5,2.5,41
381,100.0,658,0.4,0.30000000000000004,40,2.75,71
382,100.0,778,0.5,0.8,69,2.0,1
383,100.0,688,0.7000000000000001,0.4,46,0.75,61
384,100.0,502,0.6,0.9,24,1.75,21
385,100.0,522,0.30000000000000004,0.6,21,2.25,91
386,-100.0,100,0.4,0.7000000000000001,82,1.0,71
387,100.0,860,0.2,0.2,85,1.5,81
388,100.0,740,0.1,0.5,52,2.75,51
389,100.0,566,0.6,0.9,49,3.0,61
390,100.0,596,0.5,0.8,42,2.5,41
391,100.0,356,0.9,0.1,29,1.75,11
392,100.0,926,0.30000000000000004,0.9,14,2.25,71
393,100.0,902,0.2,0.7000000000000001,11,2.75,91
394,100.0,838,0.4,0.4,72,3.0,61
395,-100.0,406,0.1,0.30000000000000004,95,0.5,81
396,100.0,479,0.8,0.9,74,1.5,71
397,100.0,978,0.6,0.8,35,2.5,61
398,100.0,334,0.5,0.6,38,1.25,41
399,100.0,636,0.7000000000000001,0.2,18,3.0,51
400,100.0,711,0.4,0.8,100,1.0,71
401,100.0,543,0.30000000000000004,0.7000000000000001,1,2.25,21
402,100.0,672,0.2,0.5,26,1.75,61
403,-100.0,291,0.5,0.1,46,2.0,51
404,100.0,224,0.5,0.9,62,2.75,1
405,100.0,951,0.30000000000000004,0.30000000000000004,32,1.5,91
406,100.0,800,0.7000000000000001,0.2,16,2.5,71
407,100.0,375,0.4,0.6,76,3.0,81
408,100.0,886,0.9,0.4,48,1.75,31
409,100.0,258,0.6,0.8,79,1.25,71
410,100.0,618,0.30000000000000004,0.7000000000000001,54,2.0,61
411,100.0,438,0.1,0.9,44,2.5,71
412,100.0,182,0.5,0.2,8,2.25,41
413,100.0,690,0.4,0.1,21,2.75,51
414,100.0,820,0.2,0.9,58,3.0,91
415,100.0,149,0.8,0.6,12,2.25,81
416,100.0,577,0.2,0.7000000000000001,89,1.5,61
417,-100.0,734,0.6,0.8,24,0.25,71
418,100.0,761,0.4,0.5,67,2.0,61
419,-100.0,462,0.5,0.30000000000000004,3,1.0,41
420,100.0,550,0.1,0.9,29,0.75,51
421,100.0,652,0.7000000000000001,0.4,14,1.75,81
422,100.0,862,0.30000000000000004,0.8,9,2.75,31
423,100.0,604,0.6,0.1,50,3.0,11
424,100.0,843,0.30000000000000004,0.2,17,2.5,71
425,100.0,306,0.9,0.7000000000000001,42,2.75,91
426,100.0,719,0.5,0.9,36,3.0,51
427,100.0,522,0.4,0.6,97,1.0,21
428,100.0,787,0.7000000000000001,0.8,6,1.25,61
429,100.0,749,0.5,0.5,39,2.25,71
430,-100.0,126,0.2,0.9,31,0.5,81
431,100.0,671,0.30000000000000004,0.30000000000000004,70,1.75,51
432,100.0,584,0.1,0.2,55,2.0,71
433,100.0,497,0.6,0.9,34,1.5,61
434,100.0,564,0.4,0.6,11,2.5,31
435,100.0,979,0.5,0.7000000000000001,22,3.0,61
436,100.0,697,0.30000000000000004,0.8,19,1.5,41
437,100.0,632,0.2,0.9,27,1.75,81
