,value,max_episodes,gamma,alpha,initialization,decay_rate,decay_interval
208,100.0,557,0.6,0.4,86,1.5,51
209,100.0,136,0.8,0.7000000000000001,21,0.75,41
210,100.0,280,0.30000000000000004,0.30000000000000004,94,1.25,21
211,100.0,254,0.6,0.6,89,1.25,31
212,100.0,265,0.6,0.6,86,1.25,31
213,100.0,237,0.7000000000000001,0.6,84,1.0,81
214,100.0,199,0.6,0.6,49,1.5,31
215,100.0,631,0.6,0.2,88,1.25,71
216,100.0,304,0.4,0.5,63,0.25,31
217,100.0,579,0.1,0.9,4,1.75,21
218,100.0,226,0.5,0.5,46,1.25,61
219,100.0,381,0.30000000000000004,0.6,53,0.5,41
220,100.0,244,0.2,0.7000000000000001,70,2.0,51
221,100.0,746,0.7000000000000001,0.4,76,1.5,11
222,100.0,817,0.7000000000000001,0.4,81,1.5,11
223,100.0,713,0.7000000000000001,0.4,73,1.5,11
224,100.0,666,0.7000000000000001,0.4,69,1.5,31
225,100.0,794,0.4,0.30000000000000004,78,1.75,1
226,100.0,692,0.9,0.9,97,1.0,11
227,100.0,438,0.6,0.5,90,2.25,91
228,100.0,837,0.2,0.2,74,0.75,21
229,100.0,289,0.1,0.4,34,1.5,41
230,100.0,599,0.30000000000000004,0.30000000000000004,67,3.0,1
231,100.0,363,0.5,0.8,92,0.75,41
232,-100.0,395,0.5,0.1,87,0.75,41
233,100.0,339,0.5,0.8,83,2.5,41
234,100.0,355,0.5,0.8,41,1.25,31
235,100.0,314,0.30000000000000004,0.8,56,0.75,41
236,100.0,414,0.7000000000000001,0.8,93,0.5,11
237,100.0,642,0.5,0.5,71,1.75,51
238,100.0,385,0.8,0.4,95,1.5,41
239,100.0,679,0.6,0.9,90,1.0,21
240,100.0,917,0.4,0.30000000000000004,60,0.75,61
241,100.0,468,0.9,0.30000000000000004,65,1.75,61
242,100.0,510,0.4,0.30000000000000004,57,1.75,61
243,100.0,487,0.9,0.30000000000000004,85,2.0,71
244,100.0,618,0.1,0.30000000000000004,18,1.75,61
245,100.0,533,0.9,0.8,62,1.5,61
246,100.0,424,0.9,0.7000000000000001,51,0.25,81
247,100.0,369,0.30000000000000004,0.5,68,2.25,31
248,100.0,453,0.6,0.6,79,1.25,51
249,100.0,268,0.8,0.4,87,1.75,21
250,100.0,890,0.9,0.30000000000000004,98,1.5,71
251,100.0,501,0.2,0.30000000000000004,64,1.0,31
252,100.0,984,0.5,0.5,76,2.0,41
253,100.0,731,0.7000000000000001,0.1,89,3.0,11
254,100.0,550,0.1,0.2,26,2.5,41
255,100.0,328,0.30000000000000004,0.6,45,0.25,31
256,100.0,346,0.6,0.9,82,1.5,61
257,100.0,950,0.1,0.4,38,0.75,21
258,100.0,581,0.2,0.7000000000000001,32,0.5,61
259,100.0,656,0.4,0.2,23,1.25,51
260,100.0,866,0.30000000000000004,0.30000000000000004,66,1.75,21
261,100.0,700,0.5,0.5,54,1.5,11
262,100.0,758,0.7000000000000001,0.30000000000000004,95,2.75,41
263,100.0,280,0.6,0.6,60,1.5,11
264,100.0,600,0.9,0.8,14,0.75,41
265,100.0,396,0.4,0.4,49,0.5,1
266,100.0,779,0.30000000000000004,0.9,100,2.0,91
267,100.0,298,0.2,0.7000000000000001,70,1.25,31
268,100.0,669,0.6,0.5,91,2.25,31
269,100.0,567,0.8,0.30000000000000004,94,1.0,71
270,100.0,627,0.1,0.4,29,0.25,41
271,100.0,208,0.5,0.6,7,1.5,51
272,100.0,475,0.7000000000000001,0.8,85,1.75,21
273,-100.0,249,0.30000000000000004,0.2,68,3.0,81
274,100.0,376,0.6,0.30000000000000004,74,1.0,61
275,100.0,529,0.1,0.1,72,1.25,11
276,100.0,314,0.2,0.8,80,1.5,21
277,100.0,352,0.4,0.4,63,1.75,41
278,100.0,223,0.30000000000000004,0.6,47,2.0,51
279,100.0,432,0.7000000000000001,0.5,43,0.75,31
280,100.0,808,0.4,0.9,88,0.5,41
281,100.0,406,0.9,0.7000000000000001,98,1.25,21
282,100.0,181,0.5,0.4,96,1.5,61
283,100.0,509,0.1,0.5,92,0.25,71
284,100.0,650,0.8,0.2,58,1.75,11
285,100.0,465,0.6,0.30000000000000004,83,2.5,41
286,100.0,850,0.2,0.8,53,3.0,1
287,100.0,713,0.30000000000000004,0.6,67,2.25,31
288,100.0,561,0.6,0.30000000000000004,36,1.5,51
289,100.0,323,0.7000000000000001,0.7000000000000001,76,1.0,31
290,100.0,265,0.2,0.4,11,1.25,21
291,100.0,680,0.4,0.5,89,0.75,41
292,100.0,490,0.5,0.1,65,1.5,11
293,100.0,640,0.1,0.9,61,1.75,61
294,100.0,446,0.9,0.4,70,2.0,31
295,100.0,611,0.7000000000000001,0.30000000000000004,78,2.75,41
296,100.0,368,0.30000000000000004,0.8,85,0.5,21
297,100.0,696,0.5,0.6,94,0.75,51
298,100.0,541,0.6,0.5,51,0.25,81
299,100.0,302,0.1,0.30000000000000004,2,1.25,31
300,100.0,928,0.4,0.7000000000000001,72,1.75,71
301,100.0,342,0.8,0.9,91,1.5,21
302,100.0,587,0.30000000000000004,0.2,56,1.5,11
303,100.0,384,0.2,0.8,97,2.25,1
304,100.0,241,0.7000000000000001,0.4,87,1.0,41
305,100.0,743,0.6,0.30000000000000004,81,0.75,61
306,100.0,828,0.9,0.6,93,0.5,51
307,100.0,292,0.1,0.5,66,2.5,21
308,100.0,279,0.6,0.30000000000000004,39,1.25,41
309,100.0,623,0.30000000000000004,0.5,69,3.0,31
310,100.0,520,0.4,0.2,27,2.0,61
311,100.0,420,0.5,0.4,49,1.5,91
312,100.0,674,0.2,0.9,64,1.75,21
313,100.0,332,0.8,0.7000000000000001,31,0.25,11
314,100.0,400,0.30000000000000004,0.30000000000000004,100,1.25,41
315,100.0,653,0.1,0.1,84,2.25,51
316,100.0,363,0.4,0.6,90,1.0,31
317,100.0,884,0.7000000000000001,0.4,96,1.5,41
318,100.0,595,0.2,0.8,34,0.75,11
319,100.0,500,0.5,0.5,73,1.75,1
320,100.0,549,0.6,0.30000000000000004,87,1.0,61
321,100.0,724,0.30000000000000004,0.9,68,2.75,31
322,100.0,769,0.9,0.4,58,1.5,41
323,100.0,260,0.6,0.8,17,1.25,21
324,100.0,576,0.1,0.6,62,0.5,71
325,100.0,457,0.8,0.5,77,1.75,51
326,100.0,996,0.7000000000000001,0.4,24,0.25,41
327,100.0,480,0.2,0.30000000000000004,75,1.5,21
328,100.0,971,0.4,0.7000000000000001,54,2.5,61
329,100.0,228,0.30000000000000004,0.2,20,2.0,31
330,100.0,635,0.5,0.2,42,3.0,81
331,100.0,320,0.6,0.1,82,0.75,51
332,100.0,351,0.9,0.9,93,1.75,11
333,100.0,194,0.1,0.30000000000000004,45,1.5,41
334,100.0,788,0.30000000000000004,0.8,79,1.25,1
335,100.0,427,0.7000000000000001,0.5,89,0.75,31
336,100.0,387,0.4,0.6,71,1.5,71
337,100.0,666,0.2,0.4,98,1.25,21
338,100.0,907,0.5,0.7000000000000001,95,2.75,31
339,100.0,302,0.1,0.30000000000000004,66,0.5,11
340,100.0,532,0.30000000000000004,0.4,47,2.0,41
341,100.0,445,0.6,0.5,9,0.25,61
342,100.0,558,0.30000000000000004,0.30000000000000004,86,1.0,21
343,100.0,685,0.2,0.8,60,1.75,41
344,100.0,604,0.7000000000000001,0.6,50,2.25,51
345,-100.0,336,0.4,0.2,70,1.5,41
346,100.0,699,0.9,0.30000000000000004,91,3.0,91
347,100.0,270,0.6,0.5,52,0.75,31
348,100.0,251,0.1,0.4,65,1.75,21
349,100.0,161,0.5,0.9,63,1.5,1
350,100.0,410,0.8,0.8,74,1.25,61
351,100.0,357,0.2,0.6,84,1.0,11
352,100.0,623,0.7000000000000001,0.7000000000000001,68,2.5,71
353,100.0,859,0.6,0.1,13,1.25,41
354,100.0,946,0.4,0.4,93,0.25,51
355,100.0,812,0.30000000000000004,0.5,22,1.5,21
356,100.0,661,0.5,0.30000000000000004,96,0.5,31
357,100.0,496,0.1,0.4,56,2.25,81
358,-100.0,286,0.2,0.2,89,1.0,41
359,100.0,583,0.9,0.6,87,1.75,31
360,100.0,646,0.7000000000000001,0.8,6,2.0,11
361,100.0,472,0.6,0.9,72,1.5,51
362,100.0,212,0.4,0.30000000000000004,37,0.75,21
363,100.0,375,0.30000000000000004,0.7000000000000001,29,0.75,41
364,100.0,510,0.8,0.5,80,2.75,61
365,100.0,316,0.1,0.5,67,3.0,71
366,100.0,609,0.30000000000000004,0.2,99,1.75,11
367,100.0,401,0.2,0.30000000000000004,61,0.25,31
368,100.0,340,0.5,0.9,82,1.5,21
369,100.0,234,0.6,0.4,94,1.25,61
370,100.0,716,0.9,0.8,76,2.0,51
371,100.0,533,0.4,0.30000000000000004,91,0.5,41
372,100.0,436,0.8,0.5,85,1.0,11
373,100.0,637,0.6,0.1,48,1.5,21
374,100.0,759,0.7000000000000001,0.7000000000000001,69,1.75,1
375,100.0,572,0.30000000000000004,0.6,2,2.25,41
376,100.0,741,0.5,0.30000000000000004,44,1.25,31
377,100.0,835,0.2,0.4,97,1.5,41
378,100.0,288,0.1,0.9,35,0.75,61
379,100.0,376,0.7000000000000001,0.30000000000000004,88,0.25,21
380,100.0,314,0.30000000000000004,0.2,53,0.5,31
381,100.0,682,0.1,0.6,64,1.75,51
382,100.0,252,0.4,0.8,32,2.5,41
383,100.0,545,0.2,0.4,58,1.0,71
384,100.0,456,0.6,0.5,71,3.0,31
385,100.0,358,0.6,0.5,40,1.5,11
386,100.0,485,0.9,0.7000000000000001,92,1.25,21
387,100.0,669,0.30000000000000004,0.8,26,2.0,91
388,100.0,593,0.5,0.4,78,1.5,61
389,100.0,272,0.1,0.30000000000000004,83,1.75,51
390,100.0,422,0.7000000000000001,0.6,74,2.25,81
391,100.0,334,0.4,0.30000000000000004,96,2.5,11
392,100.0,624,0.8,0.9,66,1.0,41
393,100.0,650,0.5,0.2,98,0.75,31
394,-100.0,516,0.2,0.1,90,1.5,1
395,100.0,559,0.30000000000000004,0.5,94,1.25,41
396,100.0,700,0.9,0.4,62,0.75,31
397,100.0,885,0.1,0.30000000000000004,86,1.75,21
398,100.0,394,0.6,0.7000000000000001,68,0.25,81
399,100.0,309,0.7000000000000001,0.4,64,0.5,21
400,100.0,788,0.5,0.6,55,1.5,71
401,100.0,606,0.30000000000000004,0.8,80,3.0,51
402,100.0,924,0.4,0.30000000000000004,51,2.0,41
403,100.0,367,0.6,0.9,19,2.75,61
404,100.0,297,0.8,0.5,72,1.0,11
405,100.0,494,0.1,0.6,49,1.75,41
406,100.0,349,0.4,0.4,60,1.25,31
407,100.0,411,0.2,0.7000000000000001,75,1.5,51
408,100.0,219,0.30000000000000004,0.2,87,2.0,61
409,100.0,658,0.5,0.30000000000000004,92,1.25,1
410,-100.0,469,0.7000000000000001,0.1,95,0.25,21
411,100.0,259,0.6,0.9,89,1.5,71
412,100.0,632,0.9,0.8,70,2.25,11
413,-100.0,188,0.1,0.30000000000000004,84,0.5,41
414,100.0,575,0.2,0.5,46,1.75,31
415,100.0,440,0.30000000000000004,0.8,100,0.75,31
416,100.0,325,0.6,0.6,67,1.25,21
417,100.0,525,0.4,0.4,78,1.0,41
418,100.0,729,0.8,0.5,12,1.5,51
419,100.0,237,0.30000000000000004,0.7000000000000001,82,3.0,21
420,100.0,381,0.7000000000000001,0.4,65,1.5,61
421,100.0,284,0.2,0.30000000000000004,42,0.75,41
422,100.0,684,0.2,0.5,97,2.5,31
423,100.0,804,0.5,0.2,28,1.75,11
424,100.0,870,0.1,0.30000000000000004,52,1.0,41
425,100.0,557,0.7000000000000001,0.9,58,1.5,71
426,100.0,337,0.6,0.6,91,0.25,81
427,100.0,972,0.4,0.4,33,1.25,51
428,100.0,712,0.9,0.2,73,1.75,21
429,100.0,591,0.5,0.30000000000000004,88,2.0,61
430,100.0,453,0.30000000000000004,0.8,16,1.5,91
431,100.0,645,0.5,0.5,38,1.25,31
432,100.0,617,0.1,0.4,70,0.25,11
433,100.0,541,0.4,0.7000000000000001,85,0.5,41
434,100.0,771,0.6,0.30000000000000004,63,0.75,11
435,100.0,507,0.2,0.8,93,3.0,1
436,100.0,273,0.1,0.1,56,2.25,41
437,100.0,425,0.30000000000000004,0.6,76,1.5,21
438,100.0,908,0.30000000000000004,0.9,67,1.75,31
439,100.0,844,0.8,0.2,95,0.5,51
440,100.0,397,0.9,0.5,25,2.75,41
441,100.0,667,0.7000000000000001,0.30000000000000004,81,1.75,61
442,0.0,300,0.6,0.8,0,1.25,21
443,100.0,364,0.1,0.6,30,0.75,31
444,100.0,348,0.4,0.4,90,2.25,61
445,100.0,475,0.7000000000000001,0.7000000000000001,54,1.5,71
446,100.0,323,0.6,0.5,47,1.0,51
447,-100.0,249,0.2,0.1,98,2.0,1
448,100.0,692,0.30000000000000004,0.4,61,1.5,31
449,100.0,646,0.5,0.9,21,0.25,11
450,100.0,752,0.4,0.30000000000000004,68,1.25,41
451,100.0,611,0.30000000000000004,0.30000000000000004,50,0.75,21
452,100.0,209,0.9,0.6,44,2.5,41
453,100.0,386,0.6,0.5,65,1.75,61
454,100.0,586,0.1,0.8,86,1.5,31
455,100.0,491,0.7000000000000001,0.2,83,1.0,21
456,100.0,524,0.2,0.7000000000000001,93,2.75,11
457,100.0,822,0.8,0.4,70,1.5,51
458,100.0,569,0.5,0.30000000000000004,72,2.0,81
459,100.0,307,0.4,0.4,88,0.5,41
460,100.0,673,0.2,0.9,77,1.25,21
461,100.0,414,0.9,0.5,80,1.5,31
462,100.0,624,0.6,0.6,35,3.0,51
463,100.0,954,0.30000000000000004,0.30000000000000004,100,0.25,41
464,100.0,146,0.7000000000000001,0.8,63,0.75,11
465,100.0,459,0.1,0.4,95,1.75,61
466,100.0,232,0.6,0.6,59,1.25,71
467,100.0,371,0.30000000000000004,0.5,74,1.0,1
468,100.0,1000,0.4,0.2,90,1.75,91
469,100.0,729,0.2,0.9,66,1.5,21
470,100.0,273,0.1,0.30000000000000004,69,0.75,41
471,100.0,342,0.5,0.7000000000000001,40,2.0,31
472,100.0,440,0.2,0.1,9,2.25,11
473,100.0,550,0.6,0.30000000000000004,84,2.5,41
474,100.0,594,0.7000000000000001,0.8,96,1.0,51
475,100.0,660,0.8,0.4,92,0.5,61
476,100.0,291,0.5,0.5,48,3.0,21
477,100.0,327,0.4,0.6,4,1.5,31
478,100.0,703,0.30000000000000004,0.7000000000000001,87,1.25,41
479,100.0,401,0.9,0.30000000000000004,51,2.25,21
480,100.0,355,0.1,0.4,24,0.25,31
481,100.0,257,0.6,0.8,98,1.75,81
482,100.0,632,0.30000000000000004,0.9,55,1.5,51
483,100.0,899,0.7000000000000001,0.5,78,0.75,11
484,-100.0,528,0.4,0.1,62,2.0,71
485,100.0,484,0.5,0.2,71,1.25,61
486,100.0,504,0.8,0.30000000000000004,53,1.75,41
487,100.0,316,0.1,0.4,68,0.5,31
488,100.0,382,0.6,0.6,57,1.5,21
489,100.0,682,0.30000000000000004,0.5,89,0.75,41
490,100.0,571,0.2,0.8,94,2.5,1
491,100.0,423,0.7000000000000001,0.30000000000000004,85,2.75,11
492,100.0,932,0.9,0.7000000000000001,65,0.25,41
493,100.0,779,0.1,0.9,31,1.0,21
494,100.0,201,0.30000000000000004,0.5,82,1.75,31
495,100.0,646,0.4,0.30000000000000004,75,3.0,61
496,100.0,609,0.5,0.4,91,1.5,51
497,-100.0,291,0.6,0.2,73,1.25,1
498,100.0,463,0.2,0.6,27,0.5,31
499,100.0,543,0.30000000000000004,0.5,36,1.5,41
500,100.0,263,0.7000000000000001,0.8,14,2.25,11
501,100.0,236,0.1,0.4,96,1.25,21
502,100.0,359,0.8,0.30000000000000004,79,1.0,51
503,100.0,795,0.2,0.7000000000000001,60,1.75,71
504,100.0,513,0.5,0.9,98,2.0,41
505,100.0,860,0.9,0.30000000000000004,86,0.75,61
506,100.0,716,0.6,0.6,64,1.5,31
507,100.0,312,0.4,0.8,67,0.25,21
508,100.0,334,0.6,0.4,42,1.0,31
509,100.0,405,0.30000000000000004,0.2,92,1.75,41
510,100.0,741,0.7000000000000001,0.1,49,1.5,11
511,100.0,656,0.1,0.5,45,0.75,81
512,100.0,436,0.30000000000000004,0.30000000000000004,89,1.25,71
513,100.0,177,0.8,0.8,69,0.5,51
514,100.0,282,0.2,0.4,81,3.0,21
515,100.0,635,0.4,0.30000000000000004,94,2.75,91
516,100.0,691,0.6,0.9,22,1.5,41
517,100.0,825,0.5,0.6,84,2.0,61
518,100.0,221,0.1,0.5,72,1.25,31
519,100.0,374,0.9,0.7000000000000001,76,2.25,11
